name,url,duration,test_type,remote_testing,adaptive_irt
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,N/A,K,Yes,No
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,N/A,K,Yes,Yes
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,N/A,K,Yes,Yes
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,N/A,K,Yes,No
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,N/A,K,Yes,No
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,N/A,K,Yes,No
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,N/A,K,Yes,Yes
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,N/A,K,Yes,No
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,N/A,K,Yes,No
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,N/A,K,Yes,Yes
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,N/A,K,Yes,No
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,N/A,K,Yes,No
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,N/A,K,Yes,No
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,N/A,K,Yes,No
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,N/A,K,Yes,No
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,N/A,K,Yes,No
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,N/A,K,Yes,No
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,N/A,K,Yes,Yes
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,N/A,K,Yes,No
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,N/A,K,Yes,No
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,N/A,B,Yes,No
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,N/A,B,Yes,No
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,N/A,B,Yes,No
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,N/A,B,Yes,No
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,N/A,K,Yes,No
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,N/A,"A, P",Yes,No
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,N/A,P,Yes,No
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,N/A,P,Yes,No
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,N/A,"A, P",Yes,No
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,N/A,"A, P",Yes,No
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,N/A,K,Yes,No
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,N/A,K,Yes,No
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,N/A,K,Yes,No
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,N/A,K,Yes,No
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,N/A,K,Yes,No
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,N/A,K,Yes,No
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,N/A,D,Yes,No
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,N/A,D,Yes,No
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,N/A,D,Yes,No
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,N/A,K,Yes,No
